initial position :
player 0 row=16 , column=15
player 1 row=14 , column=13
turn : 1 -> 0 -> 
player 1 LEFT
player 0 LEFT
player 1 LEFT
player 0 LEFT
player 1 LEFT
player 0 LEFT
player 1 LEFT
player 0 LEFT
player 1 LEFT
player 0 LEFT
player 1 LEFT
player 0 LEFT
player 1 LEFT
player 0 LEFT
player 1 LEFT
player 0 LEFT
player 1 LEFT
player 0 LEFT
player 1 LEFT
player 0 LEFT
player 1 LEFT
player 0 LEFT
player 1 LEFT
player 0 LEFT
player 1 LEFT
player 0 LEFT
player 1 UP
player 0 LEFT
player 1 RIGHT
player 0 LEFT
player 1 RIGHT
player 0 UP
player 1 RIGHT
player 0 RIGHT
player 1 RIGHT
player 0 RIGHT
player 1 RIGHT
player 0 RIGHT
player 1 RIGHT
player 0 RIGHT
player 1 RIGHT
player 0 RIGHT
player 1 RIGHT
player 0 RIGHT
player 1 RIGHT
player 0 RIGHT
player 1 RIGHT
player 0 RIGHT
player 1 RIGHT
player 0 RIGHT
player 1 RIGHT
player 0 RIGHT
player 1 RIGHT
player 0 RIGHT
player 1 RIGHT
player 0 RIGHT
player 1 RIGHT
player 0 RIGHT
player 1 RIGHT
player 0 RIGHT
player 1 RIGHT
player 0 RIGHT
player 1 RIGHT
player 0 RIGHT
player 1 RIGHT
player 0 RIGHT
player 1 RIGHT
player 0 RIGHT
player 1 RIGHT
player 0 RIGHT
player 1 RIGHT
player 0 RIGHT
player 1 RIGHT
player 0 RIGHT
player 1 RIGHT
player 0 RIGHT
player 1 RIGHT
player 0 RIGHT
player 1 RIGHT
player 0 RIGHT
player 1 RIGHT
player 0 RIGHT
player 1 RIGHT
player 0 RIGHT
player 1 RIGHT
player 0 RIGHT
player 1 UP
player 0 RIGHT
player 1 LEFT
player 0 RIGHT
player 1 LEFT
player 0 DOWN
player 1 LEFT
player 0 LEFT
player 1 LEFT
player 0 LEFT
player 1 LEFT
player 0 LEFT
player 1 LEFT
player 0 LEFT
player 1 LEFT
player 0 LEFT
player 1 LEFT
player 0 LEFT
player 1 LEFT
player 0 LEFT
player 1 LEFT
player 0 LEFT
player 1 LEFT
player 0 LEFT
player 1 LEFT
player 0 LEFT
player 1 LEFT
player 0 LEFT
player 1 LEFT
player 0 LEFT
player 1 LEFT
player 0 LEFT
player 1 LEFT
player 0 DOWN
player 1 LEFT
player 0 LEFT
player 1 LEFT
player 0 LEFT
player 1 LEFT
player 0 LEFT
player 1 LEFT
player 0 LEFT
player 1 LEFT
player 0 LEFT
player 1 LEFT
player 0 LEFT
player 1 LEFT
player 0 LEFT
player 1 LEFT
player 0 LEFT
player 1 LEFT
player 0 LEFT
player 1 LEFT
player 0 LEFT
player 1 LEFT
player 0 LEFT
player 1 LEFT
player 0 LEFT
player 1 LEFT
player 0 LEFT
player 1 UP
player 0 LEFT
player 1 RIGHT
player 0 LEFT
player 1 RIGHT
player 0 LEFT
player 1 RIGHT
player 0 DOWN
player 1 RIGHT
player 0 RIGHT
player 1 RIGHT
player 0 RIGHT
player 1 RIGHT
player 0 RIGHT
player 1 RIGHT
player 0 RIGHT
player 1 RIGHT
player 0 RIGHT
player 1 RIGHT
player 0 RIGHT
player 1 RIGHT
player 0 RIGHT
player 1 RIGHT
player 0 RIGHT
player 1 RIGHT
player 0 RIGHT
player 1 RIGHT
player 0 RIGHT
player 1 RIGHT
player 0 RIGHT
player 1 RIGHT
player 0 RIGHT
player 1 RIGHT
player 0 RIGHT
player 1 RIGHT
player 0 RIGHT
player 1 RIGHT
player 0 RIGHT
player 1 RIGHT
player 0 RIGHT
player 1 RIGHT
player 0 RIGHT
player 1 RIGHT
player 0 RIGHT
player 1 RIGHT
player 0 RIGHT
player 1 RIGHT
player 0 RIGHT
player 1 RIGHT
player 0 RIGHT
player 1 RIGHT
player 0 RIGHT
player 1 RIGHT
player 0 RIGHT
player 1 RIGHT
player 0 RIGHT
player 1 RIGHT
player 0 RIGHT
player 1 RIGHT
player 0 RIGHT
player 1 UP
player 0 RIGHT
player 1 LEFT
player 0 RIGHT
player 1 LEFT
player 0 RIGHT
player 1 LEFT
player 0 DOWN
player 1 LEFT
player 0 LEFT
player 1 LEFT
player 0 LEFT
player 1 LEFT
player 0 LEFT
player 1 LEFT
player 0 LEFT
player 1 LEFT
player 0 LEFT
player 1 LEFT
player 0 LEFT
player 1 LEFT
player 0 LEFT
player 1 LEFT
player 0 LEFT
player 1 LEFT
player 0 LEFT
player 1 LEFT
player 0 LEFT
player 1 LEFT
player 0 LEFT
player 1 LEFT
player 0 LEFT
player 1 LEFT
player 0 LEFT
player 1 LEFT
player 0 LEFT
player 1 LEFT
player 0 LEFT
player 1 LEFT
player 0 LEFT
player 1 LEFT
player 0 LEFT
player 1 LEFT
player 0 LEFT
player 1 LEFT
player 0 LEFT
player 1 LEFT
player 0 LEFT
player 1 LEFT
player 0 LEFT
player 1 LEFT
player 0 LEFT
player 1 LEFT
player 0 LEFT
player 1 LEFT
player 0 LEFT
player 1 LEFT
player 0 LEFT
player 1 LEFT
player 0 LEFT
player 1 UP
player 0 LEFT
player 1 RIGHT
player 0 LEFT
player 1 RIGHT
player 0 LEFT
player 1 RIGHT

< player 0 dead >

player 0 LEFT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 UP
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 UP
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 UP
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 UP
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 UP
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 UP
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 UP
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 UP
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 RIGHT
player 1 UP
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT
player 1 LEFT

< player 1 dead >

player 1 RIGHT
